airport,artifact,bytes,dataset,date,kind,month,records,source_file,station,status,url,year
,data/raw/bts_on_time/bts_on_time_2024_08.zip,30854511,BTS On-Time Performance,,,8,,,,downloaded,https://transtats.bts.gov/PREZIP/On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2024_8.zip,2024
DEN,data/raw/iem_asos/iem_asos_2024_08_DEN.csv,65917,IEM ASOS,,,8,,,DEN,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=DEN&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=8&day1=1&year2=2024&month2=9&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
CLT,data/raw/iem_asos/iem_asos_2024_08_CLT.csv,63539,IEM ASOS,,,8,,,CLT,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=CLT&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=8&day1=1&year2=2024&month2=9&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
DFW,data/raw/iem_asos/iem_asos_2024_08_DFW.csv,64426,IEM ASOS,,,8,,,DFW,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=DFW&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=8&day1=1&year2=2024&month2=9&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
EWR,data/raw/iem_asos/iem_asos_2024_08_EWR.csv,62921,IEM ASOS,,,8,,,EWR,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=EWR&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=8&day1=1&year2=2024&month2=9&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
JFK,data/raw/iem_asos/iem_asos_2024_08_JFK.csv,63262,IEM ASOS,,,8,,,JFK,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=JFK&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=8&day1=1&year2=2024&month2=9&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
LAX,data/raw/iem_asos/iem_asos_2024_08_LAX.csv,63390,IEM ASOS,,,8,,,LAX,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=LAX&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=8&day1=1&year2=2024&month2=9&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
LGA,data/raw/iem_asos/iem_asos_2024_08_LGA.csv,63169,IEM ASOS,,,8,,,LGA,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=LGA&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=8&day1=1&year2=2024&month2=9&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
ORD,data/raw/iem_asos/iem_asos_2024_08_ORD.csv,64272,IEM ASOS,,,8,,,ORD,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=ORD&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2024&month1=8&day1=1&year2=2024&month2=9&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2024
BOS,data/raw/iem_asos/iem_asos_2025_08_BOS.csv,62621,IEM ASOS,,,8,,,BOS,downloaded,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py?station=BOS&data=tmpf&data=dwpf&data=sknt&data=drct&data=vsby&data=skyc1&data=skyl1&year1=2025&month1=8&day1=1&year2=2025&month2=9&day2=1&tz=Etc%2FUTC&format=onlycomma&latlon=yes&elev=yes&missing=M&trace=T&direct=yes&report_type=3,2025
